aap;role;idref;orcid;prenom;nom;genre;iso_courntry;pays;code_affiliation;affiliation
AAP FNSO 2019;Rapporteur.e;158873866;0000-0002-7851-5069;Sean;Takats;H;LU;Luxembourg;awyVO;Université du Luxembourg
AAP FNSO 2019;Expert.e;199546606;0000-0001-6338-9007;Marie;Garambois;F;FR;France;bxPQe;Sorbonne Université (Sorbonne U)
AAP FNSO 2019;Expert.e;150481454;0000-0002-8749-9582;Yannick;Guéguen;H;FR;France;F6Zt5;Institut français de recherche pour l'exploitation de la mer (Ifremer)
AAP FNSO 2019;Expert.e;137493770;0000-0002-1695-8497;Aurélien;Berra;H;FR;France;g6rwB;Université Paris Nanterre
AAP FNSO 2019;Expert.e;060923806;;Julien;Roche;H;FR;France;Szqy5;Université de Lille
AAP FNSO 2019;Expert.e;148690750;0000-0002-8716-9014;Bjorn-Olav;Dozo;H;BE;Belgique;KXuuh;Université de Liège
AAP FNSO 2019;Expert.e;151708452;0000-0001-8663-8694;Benoit;Pier;H;FR;France;n2X5f;Centre national de la recherche scientifique (CNRS)
AAP FNSO 2019;Expert.e;070968195;;Hervé;Pajot;H;FR;France;Y7ch7;Université Grenoble Alpes (UGA)
AAP FNSO 2019;Expert.e;032253699;0000-0003-0045-9711;Marc;Couture;H;CA;Canada;I7t3u;Université TÉLUQ
AAP FNSO 2019;Expert.e;157341887;0000-0002-1243-3167;Xavier;Rodier;H;FR;France;1nF4H;MSH VdL - Maison des Sciences de l'Homme - Val de Loire
AAP FNSO 2019;Rapporteur.e;;0000-0002-3579-2007;Marc;Vanholsbeeck;H;BE;Belgique;73Kjz;Fédération Wallonie-Bruxelles
AAP FNSO 2019;Expert.e;250396904;0000-0002-6018-3158;Anne;Vanet;F;FR;France;5KpJ9;Université Paris Diderot
AAP FNSO 2019;Rapporteur.e;06027798X;0000-0001-7214-7405;Johan;Rooryck;H;BE;Belgique;bVY4f;Universiteit Leiden
AAP FNSO 2019;Expert.e;;;Anne-Catherine;Fritzinger;F;FR;France;bxPQe;Sorbonne Université (Sorbonne U)
AAP FNSO 2019;Expert.e;135648459;0000-0002-6972-589X;Nicolas;Rougier;H;FR;France;E1Wdn;Institut national de recherche en informatique et en automatique (Inria)
AAP FNSO 2019;Expert.e;076544834;;Jacques;Lafait;H;FR;France;n2X5f;Centre national de la recherche scientifique (CNRS)
AAP FNSO 2019;Expert.e;058582754;0000-0002-8862-7304;René;Audet;H;CA;Canada;OzLRI;Université Laval
AAP FNSO 2019;Expert.e;;0000-0003-3708-6429;Anne;Laurent;F;FR;France;7yd5d;Université de Montpellier
AAP FNSO 2019;Expert.e;15200873X;0000-0001-6236-3550;Grégory;Colcanap;H;FR;France;xcw7Y;Consortium unifié des établissements universitaires et de recherche pour l'accès aux publications numériques (Consortium Couperin)
AAP FNSO 2019;Expert.e;;;Nicolas;Delargillière;H;FR;France;fq5TS;UGA Éditions
AAP FNSO 2019;Expert.e;060921382;;Thierry;Fournier;H;FR;France;9wAap;Université de Rennes 1
AAP FNSO 2019;Rapporteur.e;069093520;0000-0002-8107-9165;Delfim;Leao;H;PT;Portugal;Fd5nL;Universidade de Coimbra
AAP FNSO 2019;Expert.e;032367732;;Claude;Sabbah;H;FR;France;G2qA7;Université Paris-Saclay
AAP FNSO 2019;Expert.e;059861169;0000-0002-2736-4707;Paul;Thirion;H;BE;Belgique;KXuuh;Université de Liège
AAP FNSO 2019;Expert.e;067692826;0000-0001-8793-3644;Anne;Cambon-Thomsen;F;FR;France;"m7K6T;bZiTA";"Université Toulouse III - Paul Sabatier;Inserm - Institut national de la santé et de la recherche médicale"
AAP FNSO 2019;Expert.e;;;Serge;Bauin;H;FR;France;n2X5f;Centre national de la recherche scientifique (CNRS)
AAP FNSO 2019;Expert.e;146648412;0000-0002-8789-2544;Martina;Knoop;F;FR;France;n2X5f;Centre national de la recherche scientifique (CNRS)
AAP FNSO 2019;Expert.e;174117450;0000-0001-8151-1555;Michaël;Chelle;H;FR;France;t4SA4;Institut national de recherche pour l’agriculture, l’alimentation et l’environnement (Inrae)
AAP FNSO 2019;Expert.e;231176570;0000-0003-4442-7578;Odile;Hologne;F;FR;France;t4SA4;Institut national de recherche pour l’agriculture, l’alimentation et l’environnement (Inrae)
AAP FNSO 2019;Rapporteur.e;236949594;0000-0001-6306-5774;Marlène;Delhaye;F;FR;France;xJdyB;Aix-Marseille Université (AMU)
AAP FNSO 2019;Expert.e;05920740X;0000-0001-8954-0115;Claire;Clivaz;F;CH;Suisse;W42E6;SIB - Swiss Institute of Bioinformatics
AAP FNSO 2019;Rapporteur.e;;0000-0001-9305-7230;Géraldine;Clément-Stoneham;F;GB;Royaume-Uni;ikDEx;MRC - Medical Research Council
AAP FNSO 2019;Rapporteur.e;;0000-0003-4237-8899;Christine;Durinx;F;BE;Belgique;W42E6;SIB - Swiss Institute of Bioinformatics
AAP FNSO 2019;Expert.e;068954786;0000-0001-9253-7902;Yannick;Hoarau;H;FR;France;4k25D;Université de Strasbourg
AAP FNSO 2019;Expert.e;075537931;;Mathieu;Schneider;H;FR;France;4k25D;Université de Strasbourg
AAP FNSO 2019;Expert.e;095006966;;Christian;Maire;H;FR;France;7Mpgt;Université de Franche-Comté (UFC)
AAP FNSO 2019;Expert.e;;0000-0003-2801-9769;Armelle;Thomas;F;FR;France;aJ5P6;Maison des Sciences de l'Homme de Dijon (MSH Dijon)
AAP FNSO 2019;Expert.e;109173635;0000-0001-6498-3366;Mathieu;Doray;H;FR;France;F6Zt5;Institut français de recherche pour l'exploitation de la mer (Ifremer)
AAP FNSO 2019;Expert.e;060792795;0000-0003-3915-0973;Frédéric;Becq;H;FR;France;hlX1r;Université de Poitiers
AAP FNSO 2019;Rapporteur.e;048743216;0000-0001-6661-9680;Didier;Torny;H;FR;France;KltnW;École nationale supérieure des mines de Paris (MINES ParisTech PSL)
AAP FNSO 2019;Expert.e;071028374;0000-0002-7681-5009;Claire;Lemercier;F;FR;France;n2X5f;Centre national de la recherche scientifique (CNRS)
AAP FNSO 2019;Expert.e;034801723;0000-0002-7342-8046;Jean-Claude;Guédon;H;CA;Canada;NkZ7J;Université de Montréal
